Year,Month,Day,Hour,Minute,DNI,Wind Speed
2019,1,25,19,30,0,4.6000000000000005
2019,1,25,20,30,0,4.4
2019,1,25,21,30,0,3.9000000000000004
2019,1,25,22,30,0,3.3000000000000003
2019,1,25,23,30,0,2.9000000000000004
2019,1,26,0,30,0,2.9000000000000004
2019,1,26,1,30,0,3.1
2019,1,26,2,30,0,3.3000000000000003
2019,1,26,3,30,0,3.4000000000000004
2019,1,26,4,30,0,3.3000000000000003
2019,1,26,5,30,0,3
2019,1,26,6,30,0,2.7
2019,1,26,7,30,97,2.6
2019,1,26,8,30,581,2.6
2019,1,26,9,30,632,2.5
2019,1,26,10,30,887,2.4000000000000004
2019,1,26,11,30,898,2.4000000000000004
2019,1,26,12,30,891,2.4000000000000004
2019,1,26,13,30,885,2.3000000000000003
2019,1,26,14,30,635,2
2019,1,26,15,30,389,1.7000000000000002
2019,1,26,16,30,72,1.5
2019,1,26,17,30,0,1.3
2019,1,26,18,30,0,1.1
2019,1,26,19,30,0,0.9
2019,1,26,20,30,0,0.8
2019,1,26,21,30,0,0.9
2019,1,26,22,30,0,1.1
2019,1,26,23,30,0,1.5
2019,1,27,0,30,0,1.9000000000000001
2019,1,27,1,30,0,2.2
2019,1,27,2,30,0,2.5
2019,1,27,3,30,0,2.6
2019,1,27,4,30,0,2.7
2019,1,27,5,30,0,2.9000000000000004
2019,1,27,6,30,0,3.3000000000000003
2019,1,27,7,30,38,3.8000000000000003
2019,1,27,8,30,643,4.3
2019,1,27,9,30,799,4.9
2019,1,27,10,30,866,5.300000000000001
2019,1,27,11,30,492,5.6000000000000005
2019,1,27,12,30,137,5.5
2019,1,27,13,30,123,5.300000000000001
2019,1,27,14,30,71,5
2019,1,27,15,30,53,4.1000000000000005
2019,1,27,16,30,3,3.5
2019,1,27,17,30,0,3.4000000000000004
2019,1,27,18,30,0,3.4000000000000004
2019,1,27,19,30,0,3.2
2019,1,27,20,30,0,2.9000000000000004
2019,1,27,21,30,0,2.9000000000000004
2019,1,27,22,30,0,3.4000000000000004
2019,1,27,23,30,0,3.9000000000000004
2019,1,28,0,30,0,4
2019,1,28,1,30,0,3.9000000000000004
2019,1,28,2,30,0,4
2019,1,28,3,30,0,4
2019,1,28,4,30,0,4
2019,1,28,5,30,0,4.3
2019,1,28,6,30,0,4.5
2019,1,28,7,30,33,4.800000000000001
2019,1,28,8,30,356,4.9
2019,1,28,9,30,588,4.5
2019,1,28,10,30,447,4.1000000000000005
2019,1,28,11,30,262,3.8000000000000003
2019,1,28,12,30,369,3.3000000000000003
2019,1,28,13,30,260,3
2019,1,28,14,30,440,2.9000000000000004
2019,1,28,15,30,522,2.5
2019,1,28,16,30,155,2.4000000000000004
2019,1,28,17,30,0,2.4000000000000004
2019,1,28,18,30,0,2.3000000000000003
2019,1,28,19,30,0,2
2019,1,28,20,30,0,1.8
2019,1,28,21,30,0,1.6
2019,1,28,22,30,0,1.5
2019,1,28,23,30,0,1.4000000000000001
2019,1,29,0,30,0,1.4000000000000001
2019,1,29,1,30,0,1.5
2019,1,29,2,30,0,1.7000000000000002
2019,1,29,3,30,0,1.9000000000000001
2019,1,29,4,30,0,2.1
2019,1,29,5,30,0,2.4000000000000004
2019,1,29,6,30,0,2.8000000000000003
2019,1,29,7,30,0,3
2019,1,29,8,30,25,3.3000000000000003
2019,1,29,9,30,13,3.5
2019,1,29,10,30,19,3.7
2019,1,29,11,30,0,3.8000000000000003
2019,1,29,12,30,0,3.8000000000000003
2019,1,29,13,30,0,3.8000000000000003
2019,1,29,14,30,0,4
2019,1,29,15,30,0,4.2
2019,1,29,16,30,0,4.2
2019,1,29,17,30,0,4.3
2019,1,29,18,30,0,4.4
2019,1,29,19,30,0,3.8000000000000003
2019,1,29,20,30,0,3.9000000000000004
2019,1,29,21,30,0,4.3
2019,1,29,22,30,0,4.5
2019,1,29,23,30,0,4.800000000000001
2019,1,30,0,30,0,5.4
2019,1,30,1,30,0,5.7
2019,1,30,2,30,0,5.800000000000001
2019,1,30,3,30,0,5.6000000000000005
2019,1,30,4,30,0,5.4
2019,1,30,5,30,0,5.2
2019,1,30,6,30,0,4.800000000000001
2019,1,30,7,30,266,4.4
2019,1,30,8,30,760,4
2019,1,30,9,30,887,3.7
2019,1,30,10,30,939,3.8000000000000003
2019,1,30,11,30,945,4.5
2019,1,30,12,30,916,5.5
2019,1,30,13,30,789,6.6000000000000005
2019,1,30,14,30,145,7.300000000000001
